front,back,tags
"Card reader placement","Unsecured (approach) side, on the STRIKE JAMB side. A reader on the hinge side makes every user cross the door swing, every time, forever.",doors handing
"REX on the wrong side — the failure","A REX motion sensor on the UNSECURED side shunts the door alarm for anyone approaching from outside. The opening becomes uncontrolled and the log records everything as normal. Survives commissioning because nothing looks wrong.",doors handing
"Why a handing error can't be fixed like a config error","Cylindrical locks are usually field-reversible. Mortise locks, exit devices, electric strikes, and closers are not — the chassis is machined for one hand. A wrong hand is a lead-time hit and a non-returnable special order.",doors handing
"The five electrified locking families","Electric strike, magnetic lock, electrified lockset, electrified exit device, electric bolt/shear lock.",doors locking
"The question that comes before device selection","How does a person GET OUT — mechanically, with no power, no network, no controller? Answer that first and the device choice usually collapses to one or two options. Juniors pick the device then figure out egress; seniors reverse it.",doors locking
"Electric strike — the advantage and the trap","Advantage: mounts in the FRAME, so no power transfer needed. Best retrofit device. Trap: it releases the LATCH. If the existing lock has a deadbolt someone throws, the credential is decorative — and nobody throws it during commissioning.",doors locking
"Why the magnetic lock is a different kind of device","It is the ONLY family with no mechanical egress. Every other family gives you a lever or a bar — a physical linkage that works with the power dead. A mag's only release is cutting power.",doors locking
"What a magnetic lock forces you to add","A REX sensor, a manual release device that directly interrupts power independent of the controller, release on power loss, a hardwired fire alarm release, signage, and a recurring test obligation. Five components and a permanent life-safety obligation to replace one lever.",doors locking
"The senior position on mag locks","Correct at a small number of openings (all-glass entrances, no suitable lock or frame) and wrong at most openings where it appears. If a mag lock is on your drawing, be able to say in one sentence why nothing else works there.",doors locking
"Electrified lockset — the underappreciated feature","The INTEGRAL request-to-exit lever switch. It cannot be triggered from the wrong side, cannot be triggered by a passing cart, and corresponds exactly to the act of leaving. Far better than a ceiling motion sensor.",doors locking
"Panic hardware vs fire exit hardware","Fire exit hardware is panic hardware that is fire-labeled: it ALWAYS latches and has NO dogging feature, because a fire door must be self-latching. Specifying dogging on a rated stair door is caught at inspection, after installation.",doors locking
"Door position vs latch position","DPS says the leaf is in the frame. Latch monitoring says the BOLT is actually thrown into the strike. A door resting closed with the latch riding on a misaligned strike reads CLOSED and SECURE and opens with a light pull.",doors locking
"Sizing a power supply: which current governs","PEAK, not standby. A supply sized to standby sags exactly when the latch is trying to retract.",doors power
"Sizing a battery: which current governs","STANDBY, not peak. The battery question is energy over time; the supply question is instantaneous current. An ELR drawing 3 A for 250 ms contributes nothing to amp-hours and dominates the supply rating. Getting these backwards is the most common sizing error.",doors power
"The most common 'access control software problem'","A VOLTAGE problem. Intermittent, temperature-correlated, worse-when-busy, fine-on-the-bench are electrical signatures. Software fails deterministically. If the log shows a valid grant, the failure is downstream of the decision.",doors power
"Does a bigger power supply fix voltage drop","No. Drop = I x R, and R belongs to the conductor and its length. Fixes: bigger conductor, shorter run (relocate the supply), or a higher supply voltage if the device tolerates it. 'More amps on the shelf doesn't put volts back on the door.'",doors power
"Fail safe vs fail secure","Fail safe = UNLOCKED with no power ('safe' = for people). Fail secure = LOCKED with no power ('secure' = for property). Both describe only the lock's behavior in the absence of power.",doors failstate
"Why you never say 'fail open' or 'fail closed'","Ambiguous. 'Open' could mean the door or the electrical circuit — and an open circuit de-energizes the lock, which for a fail-secure device means LOCKED. Two engineers can use it to mean opposite things in the same meeting.",doors failstate
"Why fail secure does not trap anyone","The inside lever (or push bar) is a MECHANICAL linkage and is never electrified. It works with the power off, the controller dead, and the building on fire. Fail secure stops granting ENTRY; egress was never electrical.",doors failstate
"The cost of specifying fail safe everywhere 'to be safe'","A building that unlocks itself whenever the power drops — including when someone drops it deliberately. You traded a real security property for a life-safety benefit you already had mechanically.",doors failstate
"When fail safe is genuinely required","(1) The device has no mechanical egress (mag lock — physics). (2) Code requires release on power loss or fire alarm for that opening and occupancy. (3) Stairwell re-entry on fire alarm. (4) A specific documented operational requirement.",doors failstate
"The five failure modes of an opening","(1) AC lost, battery holding. (2) Total power loss, battery exhausted. (3) Fire alarm activation. (4) Access control server failure. (5) Network loss to the controller. Modes 4 and 5 are ACS architecture questions, not lock questions.",doors failstate
"The mode-2 question nobody asks","'What is true after the battery is exhausted?' A building full of mag locks after the battery dies is a building with no locks. Whether that is acceptable is the owner's call — but it has to be an actual call.",doors failstate
"Why the fire alarm release must be hardwired","A normally-closed contact fails to RELEASED — a cut wire looks like an alarm. A software integration fails to LOCKED and fails SILENTLY. It also depends on two servers, a network, and two vendors staying compatible for 20 years, and cannot be meaningfully tested by the people who will own it.",doors failstate
"Where the fail state must appear","In the HARDWARE SET in the specification, and on the security drawings/door schedule. Ordering happens off the submittal, which is built from the spec — not from your drawing. If the spec doesn't say it, the contractor orders the manufacturer's default.",doors failstate
"The free egress principle","A person inside must be able to get out without a key, without special knowledge, without a tool, and in ONE MOTION — always.",doors egress
"What 'one motion' protects against","Under stress, fine motor sequences fail. In smoke, in the dark, in panic, a two-step operation (retract the deadbolt, then turn the lever) becomes a zero-step failure. The code is not written for the calm, informed adult who read the sign.",doors egress
"The three components of a means of egress","Exit access (from where you are to the exit), exit (the protected portion — enclosed stair, exterior door), exit discharge (from the exit to the public way).",doors egress
"Free egress is ONE-DIRECTIONAL","The door must open from the inside. NOTHING requires it to open from the outside. Securing the exterior side is completely unconstrained — and this resolves most 'lock the exit' client requests, because what they actually fear is people coming IN.",doors egress
"Delayed egress — the shape of it","Push the bar, local alarm sounds immediately, irreversible timer runs, door unlocks and stays unlocked until manual reset. Releases on fire alarm, sprinkler flow, and power loss. Occupancy-limited, sprinkler-conditioned, signage required, recurring testing required. [CODE][VERIFY every parameter]",doors egress
"Delayed egress — the client misunderstanding","Clients hear 'delayed egress' and think 'locked'. It is a short, loudly-announced, code-conditioned, self-defeating-on-alarm arrangement with an ongoing testing obligation. Correct it in the first meeting.",doors egress
"Sensor-release arrangement — the components","Sensor on the egress side + manual release device that directly interrupts power independent of the controller + release on power loss + hardwired fire alarm release + signage. All of it exists to replace the mechanical linkage a lever would have given you free. [CODE][VERIFY]",doors egress
"The 'lock the exit' conversation, in order","(1) Name the actual risk. (2) State the constraint plainly, once. (3) Offer the alternatives you already prepared — alarm it, secure the outside, delayed egress if permitted, or MOVE THE ASSET. (4) Write it down.",doors egress
"Which egress test fails in service","SENSOR COVERAGE. A sensor aimed for an adult walking briskly at chest height misses a person in a wheelchair, a person crawling under smoke, and an oblique approach. Test from the awkward directions and at slow speeds — that is who the arrangement exists to protect.",doors egress
"Which locking devices need a power transfer","Anything electrified that lives IN THE LEAF: electrified locksets, electrified exit devices, electrified trim. Electric strikes and magnetic locks mount in or on the FRAME and need no transfer.",doors transfer
"The four power transfer methods","Electrified transfer hinge (concealed, ~24 AWG, 4/8/10 conductor), electric power transfer / EPT (mortised, higher count, heavier gauge), surface door loop (retrofit only, ugly, exposed), continuous hinge with raceway (high-cycle doors).",doors transfer
"Conductor budget for a fully monitored electrified mortise lockset","Lock power 2 + latch monitoring 2 + REX lever switch 2 + deadbolt monitoring 2 = 8, plus a MINIMUM of 2 spares = specify 10-conductor.",doors transfer
"Why you always specify spare conductors","Cost delta is small and one-time; the cost of needing another conductor after installation is a door removal, and on a rated opening a voided label. Spares get consumed by installation damage (most common), a lock function change at submittal, or flex fatigue in year seven.",doors transfer
"The transfer calculation everyone skips","The circuit does not stop at the frame. Six feet of 24 AWG at 2.8 A drops more than a volt — enough to move the required home run conductor by a full size. Negligible for a 0.3 A lockset; DECISIVE for an ELR device. This is why an ELR gets an EPT and not a hinge.",doors transfer
"The dominant failure mode of a power transfer","FLEX FATIGUE. A conductor that bends every cycle work-hardens and fractures inside the insulation where nothing is visible. Design against it: stranded conductors only, a product rated for the cycle count, and spares.",doors transfer
"Why door prep is a submittal decision, not a field decision","Doors are machined at the FACTORY per the approved submittal. Field-modifying a rated door voids its label. The transfer decision must be fixed before the door order — which is earlier than the security design feels finished.",doors transfer
"The most common omission in a security drawing set","A missing POWER TRANSFER. It happens because the transfer is invisible in every review view: the reader is on the plan, the lock is in the hardware set, the panel is on the riser, and the transfer belongs to none of them. Review for it as a deliberate pass.",doors transfer
"What a surface door loop on a finished building tells you","A design omission that was patched in the field. On a rated opening, probably also a voided label.",doors transfer
"Why a fire door rating belongs to the ASSEMBLY","Leaf, frame, hinges, closer, latching hardware, glazing, gasketing, and anchoring were tested TOGETHER. Substituting a 'compatible' component takes the assembly outside what was tested — and outside what was tested is not rated. Nothing tells you; the label still says 90 minutes.",doors fire
"Where fire labels are and what voids one","Leaf: hinge edge near the top. Frame: hinge jamb rabbet. Voided by: a hole not in the listed prep, field cutting/trimming/welding, an unlisted substituted component, removing a required component, or painting the label so it can't be read.",doors fire
"The four behaviors of a rated opening","(1) Closed. (2) Self-closing. (3) Self-latching (positive latching). (4) Unmodified.",doors fire
"Why a fire door must POSITIVELY latch","Pressure differential across the barrier during a fire will push an unlatched leaf open. A closed but unlatched door is not a barrier. Everything else — no mag locks, no dogging, fail secure only, stair re-entry releasing the trim — follows from this one requirement.",doors fire
"Why a magnetic lock is unacceptable at a rated opening","Two independent reasons. (1) It holds by magnetic force against a face, not by a bolt in a strike — it is not positive latching. (2) It releases on fire alarm by design, exactly when the door must stay shut. [CODE][VERIFY]",doors fire
"Where a card reader goes at a rated opening","On the WALL beside the opening — never through-bolted to the frame. A through-bolt is a hole that was not in the listed preparation. Nothing about a reader's function requires it to be on the frame; that is a habit from drawing plans.",doors fire
"The only permitted way to hold a fire door open","A LISTED hold-open — magnetic hold-open or closer-holder-release — that drops the door on fire alarm. A wedge, a hook, or a fire extinguisher is a violation, and it is always a workflow problem, so fix the workflow too. [CODE][VERIFY]",doors fire
"Why 'it closes when I let go from wide open' is an inadequate test","The failure is at small angles. Test by releasing the door from about 5 degrees open and confirming it closes AND POSITIVELY LATCHES. That is the test that fails.",doors fire
"The obligation your rated openings create","Periodic inspection and testing of fire door assemblies (commonly annual, per NFPA 80). It transfers to the OWNER at substantial completion and recurs for the life of the building. Your security components are on the test list. Nobody has usually been told they own it. [VERIFY]",doors fire
"Why the mechanical key is the real perimeter","Every electrified lock has a mechanical key override by design, because 'what happens when the battery is dead' needs an answer. A person with the right key bypasses every credential rule, alarm, and audit trail — and a mechanical key operation generates NO EVENT at most openings.",doors keys
"Change key / master key / grand master","CK opens one lock or a small group. MK opens a defined group that each also have their own CK. GMK opens multiple MK groups. Each level up is a skeleton key for everything beneath it.",doors keys
"Three costs of adding a level to a key hierarchy","(1) Differs are finite and masterkeying consumes them fast. (2) A cylinder accepting more keys has more shear points, so it is mechanically weaker. (3) The blast radius of a lost key equals the level it sits at.",doors keys
"The rule for hierarchy depth","Mirror the responsibility structure and go NO DEEPER. Most hierarchies are deeper than the organization that uses them, because they were designed once around an org chart that has since changed twice.",doors keys
"The control key (SFIC) — why it is the most sensitive credential","It removes and replaces CORES without disassembling the lock. It opens no door on its own, which is exactly why it gets treated casually. Lost control key = rekey EVERY CORE IN THE SYSTEM.",doors keys
"What a restricted or patented keyway actually buys you","The ability to KNOW HOW MANY KEYS EXIST. Blanks are not commercially available and duplication runs through an authorized dealer against a recorded list. Without it that number is unknowable and every other control is built on sand. ('DO NOT DUPLICATE' is a request, not a control.)",doors keys
"Why SFIC (interchangeable cores) matter operationally","Rekeying is a core swap with a control key — minutes, no disassembly, no locksmith with a lock in pieces. It makes rekeying cheap enough that it actually happens when it should, instead of being deferred until nobody can account for the keys.",doors keys
"Construction keying — the step that gets skipped","Temporary construction keys/cores give the contractor access during construction and are supposed to be voided or replaced at turnover. Nobody performs the turnover, or does 80% of openings. Every trade that worked on the building retains access, indefinitely, with no record. Assume it happened.",doors keys
"How to verify construction key turnover","PER OPENING, not in aggregate. For each: install the permanent core, attempt the construction key (must fail), operate the permanent key (must work). Plus a physical count of construction cores and keys, and an owner-selected 10% spot-check. Aggregate certification is the artifact produced when nobody walked the building.",doors keys
"When to specify an opening with NO mechanical override","At the highest consequence tier only (vault, secure media, cage), where the permanent bypass of every electronic control outweighs the operational benefit. Requires: a written emergency access procedure, a stated time-to-access, and the owner's WRITTEN acceptance. Fire service access is separate and not yours to trade away.",doors keys
"The mechanical attack classes and their countermeasures","Duplication -> restricted keyway (a POLICY control). Picking/bumping/drilling -> a rated high-security cylinder (UL 437, A156.30). Wrenching -> protective collar. Latch slipping -> a properly seated deadlatch. Frame attack -> reinforcement and anchorage. Hinge pins -> NRP or security studs.",doors keys
"The highest-value recommendation you can make to a client with a new access control system","Key control — a written policy, one named owner, an issuance register, key return in the HR offboarding checklist, an annual physical audit, and a restricted keyway. It is a policy project, not a procurement, and it reduces your own future scope. Say it anyway.",doors keys
"The pattern across lessons 04, 05, and 07","Your design creates ONGOING OBLIGATIONS that transfer to the owner at substantial completion and are invisible unless you write them down: delayed egress testing, sensor-release testing, fire door inspection, battery replacement, key control. Hand over the obligations with the system.",doors practice
