front,back,tags
"Cost of raising one DORI class","Pixel density x2, and camera count on a fixed frontage x2. A 120 ft frontage takes 1 / 1 / 2 / 4 cameras at detect / observe / recognise / identify. The multiplier compounds site-wide.",dori
"Scene width per 4 MP camera (2688 px) by class","Detect 336.0 ft. Observe 141.5 ft. Recognise 70.7 ft. Identify 35.4 ft. Apply a 15% overlap allowance for real designs.",dori
"Camera count is a ceiling function — why it matters","Resolution gains only convert into fewer cameras when they cross an INTEGER boundary. On a 90 ft elevation, 8 MP needs the same count as 4 MP at both recognise and identify — the extra pixels are wasted while still costing 1.03 stops of light, bitrate, and storage. Compute the count before accepting a resolution upgrade as a saving.",dori design
"The six conditions where DORI minima UNDERSTATE the requirement","Motion; depression angle beyond ~30 deg; compression (DORI is geometric, measured pre-encoder); light; occlusion and pose; and the viewer's task (cross-racial ID, stills, fatigue). Most real scenes carry at least two.",dori
"Pixel density is necessary but never...","...sufficient. Geometric PPF says nothing about motion blur, focus, compression artefacts, glare, or a steep depression angle flattening a face. Meeting the number and failing the task is routine.",dori judgment
"Why 'this camera delivers 90 ppf' is not a specification","PPF falls as 1/D, so the figure is meaningless without a distance — and the distance must be the SLANT RANGE to the face plane, not the plan dimension.",dori
"The three parts of a documented lower-target decision","The recommendation; the consequence in OPERATIONAL terms (what an investigation will and will not conclude, not pixels); and the compensating measure. Plus a named person accepting it.",judgment practice
"Why over-specifying DORI is also a failure","Cameras multiply, and with them licences, ports, PoE, bandwidth, storage, and a decade of maintenance. Money spent over-specifying one zone is money not spent on the zone that needed it — very often the lighting that would have made the existing cameras work.",dori judgment
"Fisheye pixel density falloff","Falls as 1/r — pixels spread around a circumference of 2.pi.r. Useful radius = px / (2.pi.target_PPF), and covered AREA goes as the square of that. A 12 MP fisheye (4000 px) holds recognise only to a 16.75 ft radius.",form-factor
"How to assess a fisheye coverage claim","Compute the radius at which it drops below your target class and draw that circle. A 20 MP fisheye covers 41.4% of a 60x60 ft room at recognise, with the corners at 19.5 ppf — barely observe. Always ask 'at what class?'",form-factor
"The structural problem with a PTZ","It records ONE place at a time. When something happens where it is not pointed, it did not record it. No improvement in optics, speed, or resolution addresses this.",form-factor
"What a guard tour does to a PTZ","Makes it worse while sounding thorough. Six presets at 10 s each means any given location is recorded 1/6 of the time, with gaps between. Write that down when someone proposes it.",form-factor
"The PTZ rule","Fixed cameras RECORD; PTZs INVESTIGATE. A PTZ belongs alongside fixed coverage as a cued assessment tool, never instead of it — and only where a staffed console exists to drive it.",form-factor
"Multisensor vs multiple fixed — the real decision","Multisensors win on INSTALLATION (one drop, one port, one mount, one lift visit). Fixed cameras win on OPERATION (failure isolation, standard PoE class, often licensing, independent placement and lenses). A system is installed once and operated for ten years.",form-factor
"The two costs that most often reverse a multisensor decision","Per-imager VMS LICENSING (the device has four imagers whether the design needs four views or not) and FAILURE CONCENTRATION (one fault removes every view). Check licensing in writing before comparing costs.",form-factor
"Do a multisensor and four equivalent fixed cameras differ in bandwidth or storage?","No. The same imager count at the same resolution produces the same data regardless of housing. Multisensors save PORTS and CABLE, not bandwidth or storage.",form-factor
"The cold-start trap","A camera rated to operate at -40 C may need MORE power to start than to run, because of heaters plus boot draw. Check the STARTUP power figure against the PoE budget, not the operating figure. This is what produces winter callbacks after an overnight outage.",form-factor power
"Which compression redundancy provides most of the saving?","TEMPORAL (between frames) — most of frame n+1 looks like frame n, so encode the difference. It follows that bitrate is driven by how much the SCENE CHANGES, which is a property of the scene, not the camera.",compression
"I, P, and B frames","I: complete standalone image, large, the only frame decodable alone. P: predicted, encodes change from the previous frame, small. B: bi-directional, references frames before and after, smallest, adds latency so often avoided in live surveillance.",compression
"GOP length — the tradeoff","Longer GOP means fewer big I-frames and lower bitrate, but MORE damage from a lost packet (errors propagate to the next I-frame), coarser seeking, and awkward evidence export (a 2 s clip may need the surrounding GOP). Keep GOPs modest on evidence-critical cameras.",compression
"Why a 2 MP car park camera can out-consume a 4 MP corridor camera","Temporal compression encodes change. A car park has constantly moving foliage, rain, headlights, and shifting sun/shade; a corridor is empty and static most of the time. Scene content beats resolution, which is why 'Mbps per megapixel' rules of thumb are wrong.",compression
"CBR vs VBR vs capped VBR","CBR: fixed bitrate, quality varies — predictable planning, but quality COLLAPSES exactly when the scene gets busy, i.e. during the incident. VBR: fixed quality, unpredictable peaks. Capped VBR: the right default — VBR behaviour with a bound you can plan against.",compression
"How to answer IT when they demand CBR for capacity planning","Capped VBR gives the same hard ceiling — size links and storage on the sum of the caps exactly as with CBR. The difference is that a quiet corridor uses well under the cap instead of padding to it, so average utilisation drops while the worst case stays equally bounded.",compression judgment
"Smart codecs — the failure that matters","Some implementations preserve bits in STATIC regions and reduce quality on MOVING regions, inverting what evidence requires. Test with a walking subject on and off, never bank the saving in the design, and turn them down on evidence-critical cameras.",compression
"Why might bitrate RISE at night?","Sensor noise looks like scene change to the encoder. A noisy night image can compress worse than a clean daytime one — the opposite of the intuition that dark scenes are cheap.",compression
"Why size links on peak, not average","Motion events CORRELATE. One vehicle triggers six cameras; a shift change fills every corridor; a storm activates every exterior camera. The moment of maximum load is the moment of maximum interest.",compression network
"Does motion recording reduce peak bandwidth?","No — a triggered camera streams at full rate. It reduces storage and AVERAGE bandwidth linearly with duty cycle. Sizing a network on the average of a motion-recorded system is exactly the wrong move, and motion recording makes it more tempting.",compression
"The real risk of motion recording","Missed evidence, not bandwidth. A detector that fails to trigger produces no recording at all, and a missed detection is indistinguishable from nothing having happened. Never apply it to an identification camera at a chokepoint, or to a high-value asset.",compression judgment
"The four things a bandwidth statement must contain","A nominal figure, a RANGE, the assumptions behind them, and a COMMITMENT TO MEASURE within the first 30 days and revise. A quoter gives one number; an engineer gives all four.",compression judgment
"Frame rate vs shutter speed","Independent settings. 15 fps at 1/125 s gives sharp frames spaced further apart; 30 fps at 1/30 s gives smeared frames close together. Shutter governs SHARPNESS; frame rate governs CONTINUITY. Confusing them is common.",compression exposure
"Retention is not an engineering input","It is a legal, regulatory, insurance, and operational decision. The engineer's job is to ensure someone chose it deliberately, record WHO and ON WHAT BASIS, and state the consequence — not to choose it.",storage judgment
"The best question for testing a retention period","'How long does this type of incident typically take to surface here?' Ask HR, loss prevention, and the duty supervisor — not facilities or IT. Internal theft, harassment, and insurance claims routinely surface in months.",storage judgment
"What sits between usable capacity and disks purchased","RAID parity overhead AND filesystem/format overhead (~5%). Skipping the second turns a 2% margin into a shortfall: 8 x 8 TB in RAID 6 gives 48.0 TB usable but only 45.6 TB after format, missing a 47.04 TB requirement.",storage
"Why RAID 5 is inadvisable on large disks","The rebuild takes DAYS (~3.7 for 16 TB, ~4.6 for 20 TB at 50 MB/s) and RAID 5 has NO remaining redundancy throughout, while reading tens of terabytes off same-age same-batch disks under the heaviest load they ever see. RAID 6 survives the second failure.",storage
"What RAID protects against","Disk failure. That is all. It does NOT protect against fire, flood, theft of the recorder, ransomware, accidental or deliberate deletion, or corruption propagated by the controller.",storage
"Redundancy vs backup vs archive","Redundancy survives component failure. Backup survives loss of the primary including fire and ransomware. Archive preserves selected material beyond the retention period. Most systems have only the first — which should be a stated decision, not an assumption.",storage
"The archive failure that actually happens","The incident is recorded, nobody exports it, and the retention clock deletes it on schedule. The fix is a named owner and a time limit ('duty supervisor exports within 72 hours of any incident being logged'), not a technology.",storage judgment
"Three things that make exported video usable as evidence","NTP time synchronisation across all recorders and cameras; export WITHOUT re-encoding, carrying native timestamp and camera identity; and a hash or signature. Plus a playable format and an audit log of who exported what.",storage evidence
"The phone-video-of-a-monitor failure","If the export workflow is awkward, the clip handed to police will eventually be a phone recording of a screen. This destroys evidentiary weight and it is a DESIGN failure — the workflow was never specified or tested.",storage evidence
"What happens to a VMS when the management server fails?","On many platforms recording CONTINUES on the last known configuration, but OPERATORS CANNOT LOG IN, because authentication and permissions live there. So the system faithfully records video nobody can watch. [MFR][VERIFY per product]",vms
"The four limits that size a recorder","Sustained write throughput; NIC capacity; licensing; and FAILURE DOMAIN — how many cameras you are willing to lose at once. Take the smallest. The real one is usually the failure domain or the NIC, rarely raw throughput.",vms
"Where does live-view load land, and what mitigates it?","On the RECORDER'S network interface, concentrated rather than spread across the camera VLAN. Substreams mitigate it — 59-71% reductions typical — and also relieve client decode load. A 16-tile view decoding full 4 MP streams wastes effort at both ends.",vms network
"Why centralised recording across a WAN is usually wrong","Video is a SUSTAINED load, not a spike — a 24-camera store at 3 Mbps is 72 Mbps permanently, in the scarce upstream direction, alongside the business traffic. And a WAN outage DESTROYS the recording rather than merely interrupting the view. Record locally, manage centrally.",vms network
"What makes an architecture deliverable more than a diagram","A stated FAILURE BEHAVIOUR: for each component, what stops working, for how long, and what the remedy would cost. It surfaces the single point of failure before it fails and puts the decision with the client.",vms judgment
"The governing rule of camera placement","Every camera answers exactly ONE WRITTEN QUESTION. If you cannot write the question, do not place the camera. 'Cover the lobby' is not a question.",placement
"The test that finds dead cameras in an existing design","Go camera by camera and write its question. The ones with no answerable question are cameras nobody will ever look at — typically 10-30% of a retrofit estate. Removing them funds the lighting that makes the rest work.",placement judgment
"The placement process, in order","Zones -> decisions -> questions -> DORI targets -> constraints (light, motion, angle, occlusion, privacy) -> positions -> equipment -> verify. The first three steps involve NO equipment, and they are the ones that get skipped.",placement
"The identification mounting-height envelope","At 8-9 ft mount, identify + <=30 deg holds from 8 to 26 ft (an 18 ft window). At 12 ft: 14-24 ft. At 16 ft: only 20-22 ft. At 20 ft: NO distance works at all. Identification cameras mount LOW and look nearly level.",placement
"Why a 20 ft pole camera never identifies anyone","Close in, the depression angle is 36-56 degrees; far out, pixel density has fallen below identify. The envelope is empty. A longer lens raises PPF and does nothing about the angle.",placement
"The six constraints a chokepoint fixes at once","Pixel density (subject is close), depression angle (mount low at a door), motion (a door slows people to near zero), pose (people face where they travel), light (a small area is cheap to light), and occlusion (one person at a time).",placement
"Why a chokepoint beats adding pixels","Adding pixels to a corridor addresses ONE of the six constraints. Designing the capture at a chokepoint addresses all six, usually with one camera where area coverage would need several.",placement
"Why the middle of a continuity chain can be recognise, not identify","Identity is established ONCE at a chokepoint and then CARRIED by continuity. The corridor cameras only need to show, without a gap, that it is the same person. Breaking continuity is more damaging than a slightly low pixel count.",placement
"What a coverage drawing should show instead of cones","CLASS RINGS — the distance at which each camera meets each DORI class. A cone implies uniform capability across an area that in reality drops from identify to detect within its own footprint.",placement
"Height and distance behave differently — how?","Below the envelope's upper edge, LOWERING the mount improves BOTH angle and pixel density (shorter slant range). Pulling BACK trades angle against density. They are different variables; the trade only appears with distance.",placement
"Why are there four domes over a retail till?","Four questions no single camera can share. Overhead (was it scanned? needs 90 deg top-down). Customer-facing (who was the customer? identify). Associate-facing (which associate? faces the OPPOSITE direction). Approach (what led up to it? wide and high).",retail
"Which till camera would you never cut?","The overhead scan-zone camera. It addresses sweethearting — the highest-value, hardest-to-otherwise-detect front-end loss — and no other angle can substitute for a top-down view of the scan bed.",retail
"What share of retail shrink can cameras not address?","Roughly a quarter — administrative/paperwork error plus damage and spoilage. Say so BEFORE installation, or the system will be judged a failure against a number it cannot influence.",retail judgment
"Which way should a retail exit camera be aimed?","INWARD. Aimed outward at the car park, everyone leaving is silhouetted against daylight — and everyone leaving is the population of interest. Free to fix on the drawing, expensive afterwards.",retail
"What POS integration changes","It converts till cameras from reactive (reviewed only when suspicion already exists) into a routine AUDIT tool. Query the transaction log for voids, no-sales, and refunds, and jump straight to the video. Finds losses nobody suspected. Needs NTP sync and consistent naming.",retail
"Why sales floor aisles are a poor place to capture theft","Long, occluded by racking and displays, subjects facing away and moving unpredictably, often poorly lit. Theft HAPPENS there; it is CAPTURABLE at the exits.",retail placement
"What distinguishes analytics that work from those that do not","Reliable analytics detect GEOMETRIC, well-defined events (something crossed this line; this is a person). Unreliable ones require INTERPRETATION (suspicious behaviour, aggression) — for which no stable definition exists.",analytics
"Precision — definition and the base-rate problem","Precision is the fraction of alarms that are real. 20 cameras at 3 false alarms/day against 2 true events/year = 0.009%. Even a 99% reduction only reaches 0.905% — fewer than 1 in 100. The BASE RATE, not the detector, is the constraint.",analytics
"What happens to an ignored alarm system, and over what timescale","Weeks 1-2 conscientious assessment. Weeks 3-8 cursory acknowledgement (rational adaptation, not negligence). Months 2-6 muted or noisy cameras excluded. Months 6-18 disabled or ignored — while still on the drawings and in the client's understanding.",analytics judgment
"The highest-value application of analytics","RETROSPECTIVE SEARCH and filtering. 'Show me every person who crossed this line overnight' turns hours into seconds. Precision does not matter because a human is already searching and a false positive costs one second to dismiss — there is no trust to erode.",analytics
"Why analytics need different camera placement than viewing","A line-crossing analytic wants the subject crossing perpendicular to the camera axis, at consistent scale, with the line away from the frame edge. An identification camera wants frontal and close. Decide which cameras carry analytics DURING placement, not afterwards.",analytics placement
"Four camera failures that do not show as offline","Misaimed; out of focus from varifocal drift; obscured by web, dust, or condensation; physically blocked by stock or vegetation; recording at reduced resolution after a firmware update; frozen frame; stuck in night mode. All are online, streaming, and green.",health
"The single most valuable non-standard health check","SCENE-CHANGE DETECTION against a stored reference frame — it catches misaiming, obstruction, and tampering, none of which appear as offline.",health
"What should be captured at commissioning and filed forever","A DATED REFERENCE IMAGE of every camera's intended view. It costs an hour at handover, it is the baseline for scene-change monitoring, and it is the only objective answer to 'has this camera moved?' three years later.",health practice
"The five acceptance tests most often omitted","Night verification with a WALKING subject; retention actually achieved; failover test; health-alert delivery test; reference image capture. Naming them explicitly in the specification is what makes them happen.",health practice
"Why assess an exported recording, not the live view","The live view is the least compressed, most favourable representation. Judge the system on an EXPORTED RECORDING of a MOVING subject at the WORST hour. Anything else tests the wrong thing.",practice judgment
"The most common single finding in any survey","Health-monitoring alerts configured to an address nobody reads — often a departed employee's. Specify the recipient by ROLE, not by person, and test it at commissioning by deliberately failing a camera.",health practice
"Why a misaimed camera is worse than no camera","Because the client believed they were covered. Six weeks undetected is 42 days of footage of a wall, and without reference images the date it moved cannot even be established.",health judgment
"The limiting-link principle","Find the link that binds. Spend there. VERIFY that the link you spent on is the one that moved. Steps most often skipped: the night site visit with a light meter, and asking the guard (not the facilities director) whether anyone looks.",imaging-chain judgment
"The professional act when a recommendation reduces your fee","Say it anyway, and say it first. A board told by the camera engineer that access control or lighting matters more will believe it, precisely because it costs the person saying it. That is the credibility that generates the next engagement.",judgment
