front,back,tags
"Rounding a computed focal length — which direction, and why?","ALWAYS ROUND UP to the next stocked size. Rounding down widens the field beyond the requirement and REDUCES pixel density — you fail the requirement you just computed. Then re-verify that the narrower field still covers what you need.",math optics
"Three things pixel density does not tell you","(1) Whether there is any light — PPF is geometric and identical at noon and 2 a.m. (2) Whether the image is sharp — MTF, focus error, motion blur and compression all destroy detail the geometry says is there. (3) Whether the face is pointed at the camera. Geometric PPF is NECESSARY, never SUFFICIENT.",math optics
"Where does a bitrate figure legitimately come from? (ranked)","(1) A MEASURED stream from a pilot of the actual camera in the actual scene. (2) The manufacturer datasheet for that model, codec and profile. (3) A vendor bandwidth calculator. (4) A generic reference table [PRACTICE] — a starting point you must caveat.",math video
"Why is frame-rate scaling sub-linear?","(1) I-frames and container overhead do not scale with frame rate — a fixed cost per GOP stays fixed. (2) Inter-frame prediction gets LESS efficient at low frame rates, because successive frames differ more, so each P-frame carries more residual. Model: bitrate × (to_fps/from_fps)^0.7 [PRACTICE].",math video
"Order of operations: frame-rate scaling and codec factor","Scale for frame rate FIRST, then apply the codec factor. 10 Mbps at 30→15 fps: 10 × 0.5^0.7 = 6.1557 Mbps H.264, × 0.5 = 3.0779 Mbps H.265.",math video
"Why does a documented modelling choice beat an undocumented one?","A documented choice can be challenged, tested, and replaced. An undocumented one gets inherited silently by everyone downstream and becomes indistinguishable from a fact.",math video
"Storage is sized on average bandwidth, links on peak. Why?","Storage ACCUMULATES over time, so it integrates the average. A link must carry whatever arrives right now, so it must survive the peak. And peaks CORRELATE — one vehicle triggers the gate, two fence cameras and a dock camera within seconds — so the statistical smoothing you hoped for evaporates exactly when you need it.",math video
"A motion duty cycle below 1.0 — risk or saving?","A RISK TO BE NAMED, not a saving to be booked. It assumes motion detection fires on every event that matters. Motion recording that misses the event produces nothing. Book it as a saving and you have quietly transferred a technical risk to the owner without telling them.",math video
"GB/day from a bitrate — the four steps","Mbps × 3600 s/h × hours ÷ 8 (bits→bytes) ÷ 1000 (MB→GB). Example: 5.0 Mbps × 3600 × 24 = 432,000 megabits → 54,000 megabytes → 54.0 GB/day.",math video
"Converting decimal megabytes to GiB — the divisor","Divide by 2³⁰/10⁶ = 1073.741824, NOT by 1024. A bitrate is DECIMAL, so the intermediate megabytes are 10⁶ bytes. Dividing by 1024 reports roughly half the true gap — the classic error, and one psec.video actually contained until Module 32 was written.",math units
"The decimal/binary gap — the two figures to remember","GB → GiB: 6.868%. TB → TiB: 9.051%. The TB figure applies the mismatch twice (once at GB, once at TB) while GiB → TiB is a clean 1024, because both are already binary.",math units
"Why the decimal/binary gap matters commercially","The client buys disk labelled in decimal TB and their OS reports capacity in TiB. A 22 TB array shows as roughly 20 TiB. If nobody explains the 9% in advance, it gets discovered as a shortfall at handover.",math units
"How to present a storage figure to a client","As a RANGE with the point estimate inside it, plus a commitment to close it: we are sizing at X TB, the true figure depends on scene activity and could land between A and B, so we are specifying expansion bays and will measure real bitrate in week one. Default range multipliers 0.7× to 1.6× [PRACTICE].",math video
"Two vendors' bandwidth calculators disagree by 2× on the same camera. Who is wrong?","Neither, necessarily. Bitrate at design time depends on scene content, motion, noise, lighting, codec implementation and encoder tuning — none of which anyone knows yet. A 2× spread reflects GENUINE UNCERTAINTY. The skill is not computing a number; it is computing a number and communicating how much you trust it.",math video
"The inverse storage problem — and why you will be asked it","How many days does the storage they ALREADY OWN buy? TB_available ÷ TB_per_day. It is the most common retrofit question and the answer is usually far worse than the client believes — and they may have told an auditor otherwise.",math video
"RAID efficiency by level","RAID 0: 1.0. RAID 1 and 10: 0.5. RAID 5: (n−1)/n. RAID 6: (n−2)/n. Raw capacity needed = usable ÷ efficiency.",math video
"What RAID protects against — and what it does not","Protects: the loss of n disks in a group (1 for RAID 5, 2 for RAID 6) without data loss or downtime. Does NOT protect against: controller failure, chassis loss, fire, water, theft of the recorder, ransomware, deletion, or a config error that stopped recording. It is not a backup. During a rebuild the array is slower and less redundant.",math video
"PSE power vs PD power","PSE = what the switch port must SOURCE. PD = what the device may DRAW. Datasheets quote PD; you budget against PSE. The difference is the worst-case cable loss the standard allows.",math poe
"PoE class allocations [STANDARD] 802.3af/at/bt","af (Type 1): 15.4 PSE / 12.95 PD. at (Type 2, PoE+): 30.0 / 25.5. bt Type 3: 60.0 / 51.0. bt Type 4: 90.0 / 71.3. All watts. [VERIFY current edition]",math poe
"Why budget a switch on class allocation rather than datasheet draw?","Many switches allocate power by the CLASS the device negotiates, not by what it consumes — so a 6 W camera that classifies as Type 2 can hold 30 W of the budget hostage. Whether your switch does static or dynamic allocation is a per-model question. [VERIFY per switch datasheet] Class is the conservative answer.",math poe
"The four independent ways a PoE switch design fails","(1) Port count exceeded. (2) Power budget exceeded. (3) Insufficient spare ports against the growth policy. (4) Budget tight — over ~80% utilised, so the NEXT device fails. They are INDEPENDENT: adding ports does not add watts.",math poe
"Why is quoting spare PORTS to a client misleading?","Because it names the constraint that is probably not binding. A switch can have 14 empty ports and power for only 2 more outdoor cameras. Quote the BINDING constraint, in the units the client thinks in — cameras, not watts. Otherwise someone makes a commitment you cannot keep.",math poe
"Why does PoE not need a voltage-drop calculation?","Because the standard solved it. A PSE sources 44–57 V into a link whose resistance is bounded by the cable spec and whose length is bounded to 100 m, and the PD accepts the whole range. The PSE-to-PD gap (15.4 vs 12.95, 30.0 vs 25.5) IS the cable loss allowance, already paid for.",math poe
"When does the PoE protection end?","The moment you leave PoE. A 12 V DC lock on copper you chose, at a length you chose, has nothing bounding the drop except you.",math poe
"Voltage drop — the working formula and its derivation","Vd = 2 · K · I · L / CM. Step 1: Ohm's law V = I·R. Step 2: R = K · L_total / CM. Step 3: round trip means L_total = 2L.",math vdrop
"The factor of 2 in the voltage drop formula","The ROUND TRIP. Current leaves on one conductor and returns on the other, and both have resistance. Forgetting it halves your answer and is the single most common error in this calculation.",math vdrop
"What is a circular mil?","The area of a circle one thousandth of an inch in diameter. Area in circular mils = (diameter in mils)², with no π. It exists precisely to make the voltage drop formula arithmetic instead of geometry.",math vdrop
"Why K = 12.9 rather than a room-temperature value?","12.9 Ω·cmil/ft is copper at ~75 °C. Resistance RISES with temperature, so a calculation at 20 °C understates drop on a loaded circuit in a hot ceiling. The warm-conductor value is the conservative choice — and it is why marginal circuits fail in the afternoon.",math vdrop
"An access-controlled door releases reliably at 7 a.m. and intermittently by 3 p.m. First hypothesis?","VOLTAGE DROP with a marginal margin. Copper resistance rises with temperature, so a ceiling that is cool in the morning and warm by mid-afternoon pushes a circuit sitting 0.1 V above minimum below it. Measure voltage AT THE LOCK WHILE ENERGISED, and measure actual current draw.",math vdrop
"Circular mils by AWG (the sizes that matter in security work)","24: 404 · 23: 509.5 · 22: 640.4 · 20: 1020 · 18: 1624 · 16: 2583 · 14: 4107 · 12: 6530 · 10: 10380.",math vdrop
"Maximum run length — the inverted formula","L_max = (V_supply − V_min) · CM / (2 · K · I). V_min comes from the DEVICE datasheet, not a rule of thumb.",math vdrop
"Which supply voltage do you calculate against?","The LOW end, not the nominal. A battery-backed supply sags toward the bottom of its range on standby — calculate at 12.0 V (or lower) rather than 13.8 V, then re-check at the end-of-standby sag. The circuit has to work during the outage, which is when nobody is available to diagnose it.",math vdrop
"Multi-segment voltage drop — how to size it correctly","Sum the drops: Vd_total = Σ (2·K·I·L / CM) over every segment. To SIZE, work backwards from the load: the device needs V_min, the last segment takes X volts, so the previous segment must deliver V_min + X. Sizing any single segment in isolation is how you specify the conductor that fails.",math vdrop
"Why 'always check the power transfer' is a defect, not a rule","Because which segment dominates depends entirely on L/CM for each. A long home run in 18 AWG can be 92% of the total drop with the 8 ft transfer at 8%; a short home run with a very thin transfer reverses it. COMPUTE BOTH, every time. The habit is the defect.",math vdrop
"Three things that fix voltage drop — and what does not","Fix: bigger conductor, shorter run (move the supply closer), or higher supply voltage (same power at half the current halves the drop). Does NOT fix: a bigger power supply. The supply is not the problem; the copper is.",math vdrop
"Battery amp-hours — the sizing formula","Ah = (I_standby × H_standby + I_alarm × H_alarm) × derate × aging. Defaults: derate 1.25, aging 1.25 [PRACTICE].",math battery
"Why multiply the derate and aging factors instead of adding?","They describe INDEPENDENT reductions in delivered capacity: aging removes a fraction of what remains after the discharge derate, not a fraction of the original. 1.25 × 1.25 = 1.5625, not 1.5. Adding under-sizes by 4.167%.",math battery
"What the discharge derate accounts for","Lead-acid delivers less than rated capacity at higher discharge rates and lower temperatures (Peukert effect), and you should not fully discharge it.",math battery
"What the aging factor accounts for","Capacity loss over service life. Sizing a battery to exactly meet the requirement on day one means it fails to meet it in year two.",math battery
"Peak current governs ___; standby current governs ___","Peak (alarm) current governs the POWER SUPPLY. Standby current governs the BATTERY. The most commonly reversed pair in low-voltage design.",math battery
"Why do peak and standby current govern different things?","They answer different questions. The supply must deliver the worst INSTANTANEOUS demand without its output collapsing — a POWER question. The battery must deliver ENERGY OVER TIME, and the worst instant lasts seconds, so it barely touches amp-hours.",math battery
"How much does the alarm component contribute to a battery?","Typically under 10%. Example: 4.5 A for 5 minutes is 0.37 Ah against a 5.17 Ah raw total — 7%. The same 4.5 A is 100% of the supply selection. Same two numbers, opposite roles.",math battery
"Why does fail-secure hardware barely touch the battery?","Fail-secure locks are DE-ENERGISED at rest and draw only when released. They can be 15% of standby current and 60% of alarm current on the same panel.",math battery
"Runtime estimate — formula and the usable fraction","runtime_h = Ah × usable_fraction / load_A, usable_fraction ≈ 0.8. You should not discharge sealed lead-acid to zero; the honest capacity is what you can take out without destroying the asset. First-order only — real runtime depends on rate, temperature and age.",math battery
"Sizing calculation vs runtime check — which do you trust?","The SIZING calculation. Runtime is a sanity test, not a selection tool: a 7 Ah battery shows 4.67 h against a 4 h requirement and still fails, because that figure has been neither derated nor aged.",math battery
"The current missing from power_supply_sizing","BATTERY CHARGING CURRENT. It comes from the POWER SUPPLY datasheet (the charger's rated output), not the battery's, and must be added to design current before selection. [VERIFY per datasheet]",math battery
"Battery standby durations — who decides?","[CODE][VERIFY] NOT you. NFPA 72 sets fire alarm secondary power; UL 294 addresses access control standby; the adopted edition and the AHJ decide. The defaults in psec are engineering practice, not a compliance determination. Sizing perfectly against the wrong duration is still wrong.",math battery
"When a computed result changes the CATEGORY of the problem","Jumping from 4 h to 24 h standby takes a battery from 8 Ah to 46 Ah, which changes the ENCLOSURE (does not fit a standard can), the CHARGING TIME (52 Ah at 1 A takes ~2 days), and adds charging current to the supply load. The calculator answers the energy question and hands you three it cannot answer. Notice when that happens.",math battery
"The four quantities in timely detection","T_T total task time (start of the sequence to completing the act at the asset). T_D time to detection AND ASSESSMENT. T_A adversary time remaining after detection = T_T − T_D. T_R response force time.",math pps
"The timeliness inequality","T_D + T_R < T_T, equivalently T_A > T_R. With a confidence margin: T_A − T_R > margin.",math pps
"Why is assessment time added to T_D?","Because an unassessed alarm has not initiated a response. Detection that nobody has confirmed and acted on has not started the response clock. It is the cheapest term in the inequality to improve and the one nobody looks at.",math pps
"Why is detection modelled at task COMPLETION rather than task start?","Because it is the CONSERVATIVE choice. A door contact reports when the door opens, not when the adversary begins working on it. Modelling detection at task start would credit you with time you do not have.",math pps
"Required detection point — formula and what to do with it","T_D_max = T_T − T_R − margin. Walk the path, find which task the adversary is executing at that elapsed time, and place detection at or before it. This is how a detection layer gets located BY CALCULATION instead of by habit.",math pps
"Remember: T_D_max is a budget for detection PLUS assessment","A 140 s required detection point with a 45 s assessment delay means the SENSOR must fire by 95 s. Assessment eats the budget before any sensor has been chosen. This is the most commonly missed step in the whole model.",math pps
"The three verdicts, and why marginal is treated as not timely","TIMELY (margin exceeds the required confidence margin), MARGINAL (margin positive but below it), NOT TIMELY (margin ≤ 0). Marginal counts as not timely because landing exactly on your confidence margin means you have consumed the entire allowance for being wrong. A tool answering a question about whether people get hurt should round toward the uncomfortable answer.",math pps
"Why does adding delay before the detection point buy nothing?","Because T_A = T_T − T_D, and delay added before detection increases BOTH by the same amount. T_A is unchanged and the verdict does not move. Delay only counts if it sits AFTER the detection point on the path.",math pps
"The four intervention levers","(1) Detect earlier. (2) Add delay AFTER the detection point. (3) Reduce response time — usually the dominant term and usually an OWNER decision. (4) Reduce the CONSEQUENCE. The fourth is not a term in the inequality, which is exactly why nobody proposes it.",math pps
"Why include a lever that is not in the equation?","Because reducing the consequence — move, reduce, or eliminate the asset — is frequently the cheapest option available, and it is the ONLY lever that still helps after the system has failed. The other three change the probability of interruption; this one changes what a failure costs.",math pps
"A required detection point comes out NEGATIVE. What does it mean?","Timeliness would require detecting the adversary before they begin. NO placement of detection anywhere on this path can succeed — the detection lever is EXHAUSTED, not merely expensive. Even instantaneous detection at the property line leaves less time than the response needs.",math pps
"What should a calculator return for a negative detection point?","An explicit NOT ACHIEVABLE verdict in words, with the arithmetic, redirecting to response time or consequence reduction. 'Move detection to −240 s' is arithmetically true and operationally meaningless — and someone will try to build it.",math pps
"The five limits of the timely-detection model","(1) One path — the adversary picks the weakest, not the one you analysed. (2) No detection PROBABILITY term; P_D is assumed 1.0. (3) Task delays are estimates, often illustrative rather than tested. (4) Response time is usually a contract figure, never measured. (5) It says nothing about what the responder does on arrival.",math pps
"Which limit of the path model is most dangerous, and why?","The assumed P_D of 1.0. A fence sensor with a real P_D of 0.6, or a door contact defeated with a magnet, silently invalidates the entire calculation while every number in the output stays the same. Nothing in the result hints that the assumption was made.",math pps
"Where would you spend the first dollar reducing path-model uncertainty?","On TESTED PENETRATION DATA for the actual construction. It is cheap, one-time, and every other number in the analysis is downstream of it. Reducing uncertainty at the root beats padding margins at the leaves.",math pps
"Continuous vs binary uncertainty — the different treatments","Uncertainty in a CONTINUOUS output (storage) can be CARRIED: present a range, buy expandable hardware, measure later. Uncertainty in a BINARY output (timely / not timely) must be RETIRED: get real data or raise the margin, because 'the system is 60% likely to be timely' is not something a client can act on.",math pps
"Why derive a calculation you already have working code for?","(1) A calculator you cannot derive is a calculator you cannot DEBUG — when two tools disagree by 30%, only the derivation says which is wrong. (2) The design direction is the INVERSE, and calculators run forwards. (3) Assumptions live in the derivation, not the output.",math practice
"The cheapest defect detector in engineering","DIMENSIONAL ANALYSIS. Track your units at every step. The one real defect found while writing Module 32 was a decimal megabyte divided by 1024 — code that had been written, reviewed and tested, caught only by working the units by hand.",math units
"A test fails after you change a formula. What do you do?","REDO THE HAND CALCULATION. Do not change the test. The test encodes the derivation; if it disagrees with your new formula, one of them is wrong and it is not automatically the test.",math practice
