device_id,device_type,description,level,room,room_name,zone,drawing,manufacturer,model,spec_section,mount_type,mount_height_ft,resolution_mp,lens_mm,frame_rate,retention_days,ppf_target,ppf_actual,controller,controller_input,controller_output,reader_interface,fail_state,door_number,poe_class,power_source,power_supply,current_draw_a,ip_address,mac_address,vlan,switch,switch_port,cable_id,cable_type,cable_length_ft,panel,status,serial_number,install_date,cx_status,requirement_ids,notes
ES-3-315,STRIKE,Executive suite strike,3,315,Exec Suite,3,SE-103,Acme,ST-300,28 13 00,mortise,42,,,,,,,ACP-3-IDF,,1,,,D-315,,Local 24VDC,,0.35,,,,,,C-0316,18/2,120,IDF-3,NEW,,,PENDING,,
DPS-3-315,DPS,Executive suite DPS,3,315,Exec Suite,3,SE-103,Acme,DC-200,28 13 00,recessed,84,,,,,,,ACP-3-IDF,1,,,,D-315,,Local 12VDC,PS-3-IDF,0,,,,,,C-0317,22/2,120,IDF-3,NEW,,,PENDING,,
REX-3-315,REX,Executive suite REX,3,315,Exec Suite,3,SE-103,Acme,RX-50,28 13 00,surface,84,,,,,,,ACP-3-IDF,2,,,,D-315,,Local 12VDC,PS-3-IDF,0.03,,,,,,C-0318,22/2,120,IDF-3,NEW,,,PENDING,,
CAM-4-401,CAM_TURRET,Fourth floor lobby,4,401,Floor Lobby,3,SE-104,Acme,VT-3000,28 23 00,surface,9,4,4.0,15,30,20,,,,,,,,af,PoE,,,10.20.30.14,00:1A:2B:3C:4D:62,30,SW-4-IDF,1,C-0401,Cat6A,150,IDF-4,NEW,,,PENDING,SEC-006,
PTZ-4-402,CAM_PTZ,Fourth floor open office,4,402,Open Office,3,SE-104,Acme,PZ-9000,28 23 00,pendant,10,2,,15,30,20,,,,,,,,bt_t3,PoE,,,10.20.30.15,00:1A:2B:3C:4D:63,30,SW-4-IDF,1,C-0402,Cat6A,160,IDF-4,NEW,,,PENDING,SEC-006,
ACP-1-MDF,CONTROLLER,Access control panel 1,1,MDF,Main Dist Frame,4,SE-701,Acme,AC-8,28 13 00,rack,0,,,,,,,,,,,,,,Local 24VDC,PS-1-MDF,0.15,10.20.31.10,00:1A:2B:3C:4D:70,31,SW-1-MDF,10,C-1001,Cat6,30,MDF,NEW,,,PENDING,SEC-010,
ACP-2-IDF,CONTROLLER,Access control panel 2,2,201,IDF-2,4,SE-701,Acme,AC-8,28 13 00,rack,0,,,,,,,,,,,,,,Local 24VDC,PS-2-IDF,0.15,10.20.31.11,00:1A:2B:3C:4D:71,31,SW-2-IDF,10,C-1002,Cat6,25,IDF-2,NEW,,,PENDING,SEC-010,
PS-1-MDF,PWR_SUPPLY,Power supply MDF,1,MDF,Main Dist Frame,4,SE-701,Acme,PS-2500,28 05 00,rack,0,,,,,,,,,,,,,none,120VAC,,,,,,,,C-1003,,10,MDF,NEW,,,PENDING,SEC-011,
PS-2-IDF,PWR_SUPPLY,Power supply IDF-2,2,201,IDF-2,4,SE-701,Acme,PS-2500,28 05 00,rack,0,,,,,,,,,,,,,none,120VAC,,,,,,,,C-1004,,10,IDF-2,NEW,,,PENDING,SEC-011,
SW-1-MDF,SWITCH,PoE switch MDF,1,MDF,Main Dist Frame,4,SE-701,Acme,SW-48P,27 21 00,rack,0,,,,,,,,,,,,,none,120VAC,,,10.20.31.2,00:1A:2B:3C:4D:80,31,,,C-1005,,10,MDF,NEW,,,PENDING,SEC-012,
SW-2-IDF,SWITCH,PoE switch IDF-2,2,201,IDF-2,4,SE-701,Acme,SW-24P,27 21 00,rack,0,,,,,,,,,,,,,none,120VAC,,,10.20.31.3,00:1A:2B:3C:4D:81,31,,,C-1006,,10,IDF-2,NEW,,,PENDING,SEC-012,
CAM-5-501,CAM_DOME,Fifth floor lobby,5,501,Floor Lobby,3,,Acme,VD-4200,28 23 00,pendant,,4,4.0,15,30,20,,,,,,,,af,PoE,,,10.20.30.999,00:1A:2B:3C:4D:64,30,SW-5-IDF,1,C-0501,Cat6A,150,IDF-5,NEW,,,PENDING,SEC-006,
CR-6-601,READER,Roof access reader,6,601,Roof Access,4,SE-106,Acme,RD-100,28 13 00,surface,42,,,,,,,ACP-6-IDF,,1,OSDP,,D-601,,Local 12VDC,PS-6-IDF,0.1,,,,,,C-0601,22/4 shielded,200,IDF-6,NEW,,,PENDING,SEC-003,
